i,split,status,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,use_cache,determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,timestamp
0,"(None, 1, 0)",good,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,139","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_139,del_165",1,"(7,)","(15,)",138.464,4.821,1.43,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
0,"(None, 10, 0)",good,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,139","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_139,del_165",1,"(7,)","(15,)",138.464,69.736,1.348,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
0,"(None, 1, 10)",NoTargetStatesError,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,139","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_139,del_165",1,"(7,)","(15,)",138.464,69.736,1.348,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
0,"(None, 5, 10)",NoTargetStatesError,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,139","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_139,del_165",1,"(7,)","(15,)",138.464,69.736,1.348,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
0,"(None, 10, 10)",NoTargetStatesError,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,139","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_139,del_165",1,"(7,)","(15,)",138.464,69.736,1.348,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
1,"(None, 1, 0)",good,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,134","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,sync_536,add_134,del_719",1,"(11, 1, 3, 7)","(0, 1, 8, 14)",137.586,1.029,1.355,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
1,"(None, 10, 0)",good,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,74,719","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,add_74,del_536,sync_719",1,"(11, 1, 3, 7)","(9, 12)",137.586,31.432,1.321,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
1,"(None, 1, 10)",NoTargetStatesError,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,74,719","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,add_74,del_536,sync_719",1,"(11, 1, 3, 7)","(9, 12)",137.586,31.432,1.321,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
1,"(None, 5, 10)",NoTargetStatesError,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,74,719","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,add_74,del_536,sync_719",1,"(11, 1, 3, 7)","(9, 12)",137.586,31.432,1.321,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
1,"(None, 10, 10)",NoTargetStatesError,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,74,719","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,add_74,del_536,sync_719",1,"(11, 1, 3, 7)","(9, 12)",137.586,31.432,1.321,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
