i,position,count,k,jaccards,counterfactuals,sequence,model,dataset,determinism,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,jaccard_threshold,timestamp
0,49,200,10,41.071,0.0,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
1,49,200,10,36.97,0.0,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
3,49,200,10,37.214,0.0,"207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,295",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
4,49,200,10,26.953,0.0,"755,87,1008,1842,1191,1725,2014,1251,760,1838,606,1716,108,1260,1210,1327,1723,565,1064,1724,134,1727,967,1134,2017,879,955,1656,1185,2783,1715,1190,2165,1837,1054,2959,1720,1030,1096,1990,1243,1979,627,2674,1049,2021,2976,3366,935,1058",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
5,49,200,10,42.661,0.0,"1346,669,648,198,1315,1334,423,1342,658,1773,1380,1175,1089,908,622,2892,3284,2469,2797,811,914,576,2885,2147,2609,1834,2828,1383,1181,700,2206,182,1771,1318,1867,1092,2115,1608,936,1057,1109,2883,1826,2607,1153,1138,1204,2544,2137,2055",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
7,49,200,10,37.143,0.0,"1003,426,920,502,2043,312,219,930,892,45,125,128,140,210,435,670,93,49,137,216,217,1155,65,209,1229,200,644,214,211,712,1081,278,58,1476,196,152,111,588,1836,151,161,896,114,121,80,156,190,1482,149,776",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
8,49,200,10,43.23,0.0,"1518,563,178,2270,601,634,200,618,724,1002,41,8,176,643,1664,184,757,1648,1299,742,421,798,720,418,727,1762,719,796,1372,1159,1127,213,210,1536,214,274,1501,869,595,947,1112,1131,1926,1977,9,633,610,47,683,1047",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
9,49,200,10,26.547,0.0,"421,1136,714,138,42,635,3013,2326,39,2204,762,1416,152,281,1853,211,744,1692,133,377,53,40,449,10,2042,172,23,549,793,8,274,317,56,1500,2164,1042,178,1385,27,65,187,1510,157,1532,243,1929,917,218,647,539",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
10,49,200,10,28.995,0.0,"645,739,620,969,642,1260,865,631,87,2020,99,556,1076,763,565,134,108,1185,1210,1997,1104,1727,1134,1725,1243,1979,1096,1064,1054,935,1095,613,721,583,643,20,559,574,843,1038,623,679,674,742,569,657,1084,188,1342,1067",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
13,49,200,10,36.56,0.0,"63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,662,106,163,55,719,547",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
15,49,200,10,49.387,0.0,"538,21,516,336,190,291,366,1012,804,503,515,2850,535,2399,355,1896,90,816,1595,872,1865,1187,33,146,1277,149,552,2471,84,1802,619,451,397,826,984,180,165,745,1310,1322,1432,353,1055,413,668,687,332,2867,600,658",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.8,"Fri, 13 Dec 2024 20:44:00"
